year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1994,Last 16,L16,25,Stephen Hendry,SCO,1,13,Dave Harold,ENG,u,2
1994,Last 16,L16,25,Nigel Bond,ENG,9,13,Terry Griffiths,WAL,8,8
1994,Last 16,L16,25,James Wattana,THA,5,13,Brian Morgan,ENG,u,9
1994,Last 16,L16,25,Steve Davis,ENG,4,13,Steve James,ENG,13,3
1994,Last 16,L16,25,Jimmy White,ENG,3,13,Neal Foulds,ENG,14,10
1994,Last 16,L16,25,Ken Doherty,IRL,11,13,Alan McManus,SCO,6,11
1994,Last 16,L16,25,Darren Morgan,WAL,10,13,Willie Thorne,ENG,7,12
1994,Last 16,L16,25,John Parrott,ENG,2,13,Ronnie O'Sullivan,ENG,u,3
1994,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Nigel Bond,ENG,9,8
1994,Quarter-Finals,QF,25,Steve Davis,ENG,4,13,James Wattana,THA,5,9
1994,Quarter-Finals,QF,25,Jimmy White,ENG,3,13,Ken Doherty,IRL,11,10
1994,Quarter-Finals,QF,25,Darren Morgan,WAL,10,13,John Parrott,ENG,2,11
1994,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Steve Davis,ENG,4,9
1994,Semi-Finals,SF,31,Jimmy White,ENG,3,16,Darren Morgan,WAL,10,8
1994,The Final,FIN,35,Stephen Hendry,SCO,1,18,Jimmy White,ENG,3,17
1995,First Round,1R,19,Stephen Hendry,SCO,1,10,Stefan Mazrocis,ENG,u,3
1995,First Round,1R,19,Tony Drago,MLT,16,10,Paul Cavney,ENG,u,2
1995,First Round,1R,19,Ronnie O'Sullivan,ENG,9,10,Dave Harold,ENG,u,3
1995,First Round,1R,19,Darren Morgan,WAL,8,10,Anthony Davies,WAL,u,3
1995,First Round,1R,19,John Parrott,ENG,5,10,Brian Morgan,ENG,u,5
1995,First Round,1R,19,Joe Swail,NIR,12,10,Nigel Gilbert,ENG,u,8
1995,First Round,1R,19,David Roe,ENG,13,10,Billy Snaddon,SCO,u,6
1995,First Round,1R,19,Jimmy White,ENG,4,10,Peter Francisco,RSA,u,2
1995,First Round,1R,19,Gary Wilkinson,ENG,u,10,James Wattana,THA,3,8
1995,First Round,1R,19,Terry Griffiths,WAL,14,10,Alain Robidoux,CAN,u,6
1995,First Round,1R,19,Nigel Bond,ENG,11,10,Stephen Lee,ENG,u,8
1995,First Round,1R,19,Alan McManus,SCO,6,10,John Higgins,SCO,u,3
1995,First Round,1R,19,Mark Davis,ENG,u,10,Ken Doherty,IRL,7,7
1995,First Round,1R,19,Peter Ebdon,ENG,10,10,Rod Lawler,ENG,u,2
1995,First Round,1R,19,Willie Thorne,ENG,15,10,Tai Pichit,THA,u,6
1995,First Round,1R,19,Andy Hicks,ENG,u,10,Steve Davis,ENG,2,7
1995,Last 16,L16,25,Stephen Hendry,SCO,1,13,Tony Drago,MLT,16,6
1995,Last 16,L16,25,Ronnie O'Sullivan,ENG,9,13,Darren Morgan,WAL,8,8
1995,Last 16,L16,25,John Parrott,ENG,5,13,Joe Swail,NIR,12,11
1995,Last 16,L16,25,Jimmy White,ENG,4,13,David Roe,ENG,13,7
1995,Last 16,L16,25,Gary Wilkinson,ENG,u,13,Terry Griffiths,WAL,14,9
1995,Last 16,L16,25,Nigel Bond,ENG,11,13,Alan McManus,SCO,6,10
1995,Last 16,L16,25,Peter Ebdon,ENG,10,13,Mark Davis,ENG,u,7
1995,Last 16,L16,25,Andy Hicks,ENG,u,13,Willie Thorne,ENG,15,7
1995,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Ronnie O'Sullivan,ENG,9,8
1995,Quarter-Finals,QF,25,Jimmy White,ENG,4,13,John Parrott,ENG,5,11
1995,Quarter-Finals,QF,25,Nigel Bond,ENG,11,13,Gary Wilkinson,ENG,u,7
1995,Quarter-Finals,QF,25,Andy Hicks,ENG,u,13,Peter Ebdon,ENG,10,8
1995,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Jimmy White,ENG,4,12
1995,Semi-Finals,SF,31,Nigel Bond,ENG,11,16,Andy Hicks,ENG,u,11
1995,The Final,FIN,35,Stephen Hendry,SCO,1,18,Nigel Bond,ENG,11,9
1996,First Round,1R,19,Stephen Hendry,SCO,1,10,Jason Ferguson,ENG,u,8
1996,First Round,1R,19,Gary Wilkinson,ENG,u,10,David Roe,ENG,16,9
1996,First Round,1R,19,Ken Doherty,IRL,9,10,Nick Terry,ENG,u,5
1996,First Round,1R,19,Darren Morgan,WAL,8,10,Drew Henry,SCO,u,8
1996,First Round,1R,19,James Wattana,THA,5,10,Jimmy Michie,ENG,u,8
1996,First Round,1R,19,Nigel Bond,ENG,12,10,Anthony Hamilton,ENG,u,9
1996,First Round,1R,19,Dave Harold,ENG,13,10,Neal Foulds,ENG,u,4
1996,First Round,1R,19,Rod Lawler,ENG,u,10,John Parrott,ENG,4,6
1996,First Round,1R,19,Ronnie O'Sullivan,ENG,3,10,Alain Robidoux,CAN,u,3
1996,First Round,1R,19,Tony Drago,MLT,14,10,Steve James,ENG,u,2
1996,First Round,1R,19,John Higgins,SCO,11,10,Martin Clark,ENG,u,5
1996,First Round,1R,19,Alan McManus,SCO,6,10,Mick Price,ENG,u,5
1996,First Round,1R,19,Jimmy White,ENG,7,10,Euan Henderson,SCO,u,9
1996,First Round,1R,19,Peter Ebdon,ENG,10,10,Dene O'Kane,NZL,u,1
1996,First Round,1R,19,Terry Griffiths,WAL,15,10,Jamie Burnett,SCO,u,9
1996,First Round,1R,19,Steve Davis,ENG,2,10,Willie Thorne,ENG,u,8
1996,Last 16,L16,25,Stephen Hendry,SCO,1,13,Gary Wilkinson,ENG,u,7
1996,Last 16,L16,25,Darren Morgan,WAL,8,13,Ken Doherty,IRL,9,5
1996,Last 16,L16,25,Nigel Bond,ENG,12,13,James Wattana,THA,5,4
1996,Last 16,L16,25,Dave Harold,ENG,13,13,Rod Lawler,ENG,u,6
1996,Last 16,L16,25,Ronnie O'Sullivan,ENG,3,13,Tony Drago,MLT,14,4
1996,Last 16,L16,25,John Higgins,SCO,11,13,Alan McManus,SCO,6,5
1996,Last 16,L16,25,Peter Ebdon,ENG,10,13,Jimmy White,ENG,7,12
1996,Last 16,L16,25,Steve Davis,ENG,2,13,Terry Griffiths,WAL,15,8
1996,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,8,5
1996,Quarter-Finals,QF,25,Nigel Bond,ENG,12,13,Dave Harold,ENG,13,7
1996,Quarter-Finals,QF,25,Ronnie O'Sullivan,ENG,3,13,John Higgins,SCO,11,12
1996,Quarter-Finals,QF,25,Peter Ebdon,ENG,10,13,Steve Davis,ENG,2,10
1996,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Nigel Bond,ENG,12,7
1996,Semi-Finals,SF,31,Peter Ebdon,ENG,10,16,Ronnie O'Sullivan,ENG,3,14
1996,The Final,FIN,35,Stephen Hendry,SCO,1,18,Peter Ebdon,ENG,10,12
1997,First Round,1R,19,Stephen Hendry,SCO,1,10,Andy Hicks,ENG,u,6
1997,First Round,1R,19,Mark Williams,WAL,16,10,Terry Griffiths,WAL,u,9
1997,First Round,1R,19,Darren Morgan,WAL,9,10,Gary Wilkinson,ENG,u,5
1997,First Round,1R,19,Ronnie O'Sullivan,ENG,8,10,Mick Price,ENG,u,6
1997,First Round,1R,19,Stephen Lee,ENG,u,10,Nigel Bond,ENG,5,8
1997,First Round,1R,19,James Wattana,THA,12,10,Graeme Dott,SCO,u,9
1997,First Round,1R,19,Anthony Hamilton,ENG,u,10,Jimmy White,ENG,13,9
1997,First Round,1R,19,John Parrott,ENG,4,10,Bradley Jones,ENG,u,9
1997,First Round,1R,19,Stefan Mazrocis,ENG,u,10,Peter Ebdon,ENG,3,3
1997,First Round,1R,19,Alain Robidoux,CAN,14,10,Brian Morgan,ENG,u,8
1997,First Round,1R,19,Lee Walker,WAL,u,10,Dave Harold,ENG,11,7
1997,First Round,1R,19,Alan McManus,SCO,6,10,Billy Snaddon,SCO,u,9
1997,First Round,1R,19,Ken Doherty,IRL,7,10,Mark Davis,ENG,u,8
1997,First Round,1R,19,Steve Davis,ENG,10,10,David McLellan,SCO,u,2
1997,First Round,1R,19,Dominic Dale,WAL,u,10,Tony Drago,MLT,15,9
1997,First Round,1R,19,John Higgins,SCO,2,10,Graham Horne,SCO,u,6
1997,Last 16,L16,25,Stephen Hendry,SCO,1,13,Mark Williams,WAL,16,8
1997,Last 16,L16,25,Darren Morgan,WAL,9,13,Ronnie O'Sullivan,ENG,8,12
1997,Last 16,L16,25,James Wattana,THA,12,13,Stephen Lee,ENG,u,7
1997,Last 16,L16,25,John Parrott,ENG,4,13,Anthony Hamilton,ENG,u,11
1997,Last 16,L16,25,Alain Robidoux,CAN,14,13,Stefan Mazrocis,ENG,u,9
1997,Last 16,L16,25,Lee Walker,WAL,u,13,Alan McManus,SCO,6,10
1997,Last 16,L16,25,Ken Doherty,IRL,7,13,Steve Davis,ENG,10,3
1997,Last 16,L16,25,John Higgins,SCO,2,13,Dominic Dale,WAL,u,5
1997,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,9,10
1997,Quarter-Finals,QF,25,James Wattana,THA,12,13,John Parrott,ENG,4,10
1997,Quarter-Finals,QF,25,Alain Robidoux,CAN,14,13,Lee Walker,WAL,u,8
1997,Quarter-Finals,QF,25,Ken Doherty,IRL,7,13,John Higgins,SCO,2,9
1997,Semi-Finals,SF,33,Stephen Hendry,SCO,1,17,James Wattana,THA,12,13
1997,Semi-Finals,SF,33,Ken Doherty,IRL,7,17,Alain Robidoux,CAN,14,7
1997,The Final,FIN,35,Ken Doherty,IRL,7,18,Stephen Hendry,SCO,1,12
1998,First Round,1R,19,Ken Doherty,IRL,1,10,Lee Walker,WAL,u,8
1998,First Round,1R,19,Stephen Lee,ENG,16,10,Andy Hicks,ENG,u,4
1998,First Round,1R,19,Matthew Stevens,WAL,u,10,Alain Robidoux,CAN,9,8
1998,First Round,1R,19,Mark King,ENG,u,10,Nigel Bond,ENG,8,5
1998,First Round,1R,19,Peter Ebdon,ENG,5,10,Terry Murphy,NIR,u,3
1998,First Round,1R,19,Fergal O'Brien,IRL,u,10,James Wattana,THA,12,9
1998,First Round,1R,19,Steve Davis,ENG,13,10,Simon Bedford,ENG,u,6
1998,First Round,1R,19,Mark Williams,WAL,4,10,Quinten Hann,AUS,u,9
1998,First Round,1R,19,John Higgins,SCO,3,10,Jason Ferguson,ENG,u,8
1998,First Round,1R,19,Anthony Hamilton,ENG,14,10,Dave Harold,ENG,u,8
1998,First Round,1R,19,Tony Drago,MLT,11,10,Alfie Burden,ENG,u,8
1998,First Round,1R,19,John Parrott,ENG,6,10,Peter Lines,ENG,u,4
1998,First Round,1R,19,Ronnie O'Sullivan,ENG,7,10,Joe Swail,NIR,u,5
1998,First Round,1R,19,Alan McManus,SCO,10,10,David Gray,ENG,u,8
1998,First Round,1R,19,Darren Morgan,WAL,15,10,Jason Prince,NIR,u,8
1998,First Round,1R,19,Jimmy White,ENG,u,10,Stephen Hendry,SCO,2,4
1998,Last 16,L16,25,Ken Doherty,IRL,1,13,Stephen Lee,ENG,16,8
1998,Last 16,L16,25,Matthew Stevens,WAL,u,13,Mark King,ENG,u,9
1998,Last 16,L16,25,Peter Ebdon,ENG,5,13,Fergal O'Brien,IRL,u,5
1998,Last 16,L16,25,Mark Williams,WAL,4,13,Steve Davis,ENG,13,6
1998,Last 16,L16,25,John Higgins,SCO,3,13,Anthony Hamilton,ENG,14,9
1998,Last 16,L16,25,John Parrott,ENG,6,13,Tony Drago,MLT,11,7
1998,Last 16,L16,25,Ronnie O'Sullivan,ENG,7,13,Alan McManus,SCO,10,4
1998,Last 16,L16,25,Jimmy White,ENG,u,13,Darren Morgan,WAL,15,3
1998,Quarter-Finals,QF,25,Ken Doherty,IRL,1,13,Matthew Stevens,WAL,u,10
1998,Quarter-Finals,QF,25,Mark Williams,WAL,4,13,Peter Ebdon,ENG,5,11
1998,Quarter-Finals,QF,25,John Higgins,SCO,3,13,John Parrott,ENG,6,11
1998,Quarter-Finals,QF,25,Ronnie O'Sullivan,ENG,7,13,Jimmy White,ENG,u,7
1998,Semi-Finals,SF,33,Ken Doherty,IRL,1,17,Mark Williams,WAL,4,14
1998,Semi-Finals,SF,33,John Higgins,SCO,3,17,Ronnie O'Sullivan,ENG,7,9
1998,The Final,FIN,35,John Higgins,SCO,3,18,Ken Doherty,IRL,1,12
1999,First Round,1R,19,John Higgins,SCO,1,10,Gerard Greene,NIR,u,2
1999,First Round,1R,19,Mark King,ENG,16,10,Darren Morgan,WAL,u,8
1999,First Round,1R,19,Stephen Lee,ENG,9,10,John Lardner,SCO,u,7
1999,First Round,1R,19,Alan McManus,SCO,8,10,Jimmy White,ENG,u,7
1999,First Round,1R,19,Mark Williams,WAL,5,10,Ian McCulloch,ENG,u,4
1999,First Round,1R,19,Nick Walker,ENG,u,10,Alain Robidoux,CAN,12,6
1999,First Round,1R,19,Nigel Bond,ENG,13,10,Dominic Dale,WAL,u,6
1999,First Round,1R,19,Ken Doherty,IRL,4,10,Steve James,ENG,u,3
1999,First Round,1R,19,Ronnie O'Sullivan,ENG,3,10,Leo Fernandez,IRL,u,3
1999,First Round,1R,19,Joe Perry,ENG,u,10,Steve Davis,ENG,14,9
1999,First Round,1R,19,Chris Small,SCO,u,10,Anthony Hamilton,ENG,11,9
1999,First Round,1R,19,John Parrott,ENG,6,10,Terry Murphy,NIR,u,8
1999,First Round,1R,19,Matthew Stevens,WAL,u,10,Peter Ebdon,ENG,7,7
1999,First Round,1R,19,Tony Drago,MLT,10,10,Fergal O'Brien,IRL,u,4
1999,First Round,1R,19,James Wattana,THA,15,10,Marco Fu,HKG,u,8
1999,First Round,1R,19,Stephen Hendry,SCO,2,10,Paul Hunter,ENG,u,8
1999,Last 16,L16,25,John Higgins,SCO,1,13,Mark King,ENG,16,4
1999,Last 16,L16,25,Stephen Lee,ENG,9,13,Alan McManus,SCO,8,7
1999,Last 16,L16,25,Mark Williams,WAL,5,13,Nick Walker,ENG,u,7
1999,Last 16,L16,25,Ken Doherty,IRL,4,13,Nigel Bond,ENG,13,11
1999,Last 16,L16,25,Ronnie O'Sullivan,ENG,3,13,Joe Perry,ENG,u,8
1999,Last 16,L16,25,John Parrott,ENG,6,13,Chris Small,SCO,u,12
1999,Last 16,L16,25,Matthew Stevens,WAL,u,13,Tony Drago,MLT,10,8
1999,Last 16,L16,25,Stephen Hendry,SCO,2,13,James Wattana,THA,15,7
1999,Quarter-Finals,QF,25,John Higgins,SCO,1,13,Stephen Lee,ENG,9,6
1999,Quarter-Finals,QF,25,Mark Williams,WAL,5,13,Ken Doherty,IRL,4,9
1999,Quarter-Finals,QF,25,Ronnie O'Sullivan,ENG,3,13,John Parrott,ENG,6,9
1999,Quarter-Finals,QF,25,Stephen Hendry,SCO,2,13,Matthew Stevens,WAL,u,5
1999,Semi-Finals,SF,33,Mark Williams,WAL,5,17,John Higgins,SCO,1,10
1999,Semi-Finals,SF,33,Stephen Hendry,SCO,2,17,Ronnie O'Sullivan,ENG,3,13
1999,The Final,FIN,35,Stephen Hendry,SCO,2,18,Mark Williams,WAL,5,11
2000,First Round,1R,19,Stuart Bingham,ENG,u,10,Stephen Hendry,SCO,1,7
2000,First Round,1R,19,Jimmy White,ENG,16,10,Billy Snaddon,SCO,u,7
2000,First Round,1R,19,Matthew Stevens,WAL,9,10,Tony Drago,MLT,u,2
2000,First Round,1R,19,Alan McManus,SCO,8,10,Nigel Bond,ENG,u,7
2000,First Round,1R,19,John Parrott,ENG,5,10,Gary Wilkinson,ENG,u,9
2000,First Round,1R,19,Joe Swail,NIR,u,10,Paul Hunter,ENG,12,6
2000,First Round,1R,19,Dominic Dale,WAL,u,10,Peter Ebdon,ENG,13,6
2000,First Round,1R,19,David Gray,ENG,u,10,Ronnie O'Sullivan,ENG,4,9
2000,First Round,1R,19,Mark Williams,WAL,3,10,John Read,ENG,u,4
2000,First Round,1R,19,Drew Henry,SCO,u,10,Mark King,ENG,14,8
2000,First Round,1R,19,Fergal O'Brien,IRL,11,10,Chris Small,SCO,u,8
2000,First Round,1R,19,Stephen Lee,ENG,6,10,Kristjan Helgason,ICE,u,3
2000,First Round,1R,19,Ken Doherty,IRL,7,10,Darren Morgan,WAL,u,3
2000,First Round,1R,19,Anthony Hamilton,ENG,10,10,Marco Fu,HKG,u,4
2000,First Round,1R,19,Steve Davis,ENG,15,10,Graeme Dott,SCO,u,6
2000,First Round,1R,19,John Higgins,SCO,2,10,Dave Harold,ENG,u,8
2000,Last 16,L16,25,Jimmy White,ENG,16,13,Stuart Bingham,ENG,u,9
2000,Last 16,L16,25,Matthew Stevens,WAL,9,13,Alan McManus,SCO,8,4
2000,Last 16,L16,25,Joe Swail,NIR,u,13,John Parrott,ENG,5,12
2000,Last 16,L16,25,Dominic Dale,WAL,u,13,David Gray,ENG,u,1
2000,Last 16,L16,25,Mark Williams,WAL,3,13,Drew Henry,SCO,u,9
2000,Last 16,L16,25,Fergal O'Brien,IRL,11,13,Stephen Lee,ENG,6,8
2000,Last 16,L16,25,Anthony Hamilton,ENG,10,13,Ken Doherty,IRL,7,12
2000,Last 16,L16,25,John Higgins,SCO,2,13,Steve Davis,ENG,15,11
2000,Quarter-Finals,QF,25,Matthew Stevens,WAL,9,13,Jimmy White,ENG,16,7
2000,Quarter-Finals,QF,25,Joe Swail,NIR,u,13,Dominic Dale,WAL,u,9
2000,Quarter-Finals,QF,25,Mark Williams,WAL,3,13,Fergal O'Brien,IRL,11,5
2000,Quarter-Finals,QF,25,John Higgins,SCO,2,13,Anthony Hamilton,ENG,10,3
2000,Semi-Finals,SF,33,Matthew Stevens,WAL,9,17,Joe Swail,NIR,u,12
2000,Semi-Finals,SF,33,Mark Williams,WAL,3,17,John Higgins,SCO,2,15
2000,The Final,FIN,35,Mark Williams,WAL,3,18,Matthew Stevens,WAL,9,16
2001,First Round,1R,19,Mark Williams,WAL,1,10,Billy Snaddon,SCO,u,4
2001,First Round,1R,19,Joe Swail,NIR,16,10,Sean Storey,ENG,u,9
2001,First Round,1R,19,Mark King,ENG,u,10,Fergal O'Brien,IRL,9,8
2001,First Round,1R,19,Patrick Wallace,NIR,u,10,Alan McManus,SCO,8,2
2001,First Round,1R,19,Stephen Lee,ENG,5,10,Nigel Bond,ENG,u,3
2001,First Round,1R,19,Peter Ebdon,ENG,12,10,James Wattana,THA,u,8
2001,First Round,1R,19,Dave Harold,ENG,13,10,Quinten Hann,AUS,u,5
2001,First Round,1R,19,Ronnie O'Sullivan,ENG,4,10,Andy Hicks,ENG,u,2
2001,First Round,1R,19,Stephen Hendry,SCO,3,10,Mark Davis,ENG,u,5
2001,First Round,1R,19,Paul Hunter,ENG,14,10,David Roe,ENG,u,6
2001,First Round,1R,19,Anthony Hamilton,ENG,11,10,Marcus Campbell,SCO,u,4
2001,First Round,1R,19,Matthew Stevens,WAL,6,10,Tony Drago,MLT,u,1
2001,First Round,1R,19,Ken Doherty,IRL,7,10,Nick Dyson,ENG,u,7
2001,First Round,1R,19,Michael Judge,IRL,u,10,John Parrott,ENG,10,6
2001,First Round,1R,19,Chris Small,SCO,u,10,Marco Fu,HKG,15,8
2001,First Round,1R,19,John Higgins,SCO,2,10,Graeme Dott,SCO,u,4
2001,Last 16,L16,25,Joe Swail,NIR,16,13,Mark Williams,WAL,1,12
2001,Last 16,L16,25,Patrick Wallace,NIR,u,13,Mark King,ENG,u,5
2001,Last 16,L16,25,Peter Ebdon,ENG,12,13,Stephen Lee,ENG,5,12
2001,Last 16,L16,25,Ronnie O'Sullivan,ENG,4,13,Dave Harold,ENG,13,6
2001,Last 16,L16,25,Stephen Hendry,SCO,3,13,Paul Hunter,ENG,14,5
2001,Last 16,L16,25,Matthew Stevens,WAL,6,13,Anthony Hamilton,ENG,11,5
2001,Last 16,L16,25,Ken Doherty,IRL,7,13,Michael Judge,IRL,u,7
2001,Last 16,L16,25,John Higgins,SCO,2,13,Chris Small,SCO,u,8
2001,Quarter-Finals,QF,25,Joe Swail,NIR,16,13,Patrick Wallace,NIR,u,11
2001,Quarter-Finals,QF,25,Ronnie O'Sullivan,ENG,4,13,Peter Ebdon,ENG,12,6
2001,Quarter-Finals,QF,25,Matthew Stevens,WAL,6,13,Stephen Hendry,SCO,3,5
2001,Quarter-Finals,QF,25,John Higgins,SCO,2,13,Ken Doherty,IRL,7,6
2001,Semi-Finals,SF,33,Ronnie O'Sullivan,ENG,4,17,Joe Swail,NIR,16,11
2001,Semi-Finals,SF,33,John Higgins,SCO,2,17,Matthew Stevens,WAL,6,15
2001,The Final,FIN,35,Ronnie O'Sullivan,ENG,4,18,John Higgins,SCO,2,14
2002,First Round,1R,19,Ronnie O'Sullivan,ENG,1,10,Drew Henry,SCO,u,5
2002,First Round,1R,19,Robert Milkins,ENG,u,10,Fergal O'Brien,IRL,16,8
2002,First Round,1R,19,Quinten Hann,AUS,u,10,Paul Hunter,ENG,9,9
2002,First Round,1R,19,Stephen Lee,ENG,8,10,Chris Small,SCO,u,7
2002,First Round,1R,19,Stephen Hendry,SCO,5,10,Shaun Murphy,ENG,u,4
2002,First Round,1R,19,Anthony Davies,WAL,u,10,Alan McManus,SCO,12,7
2002,First Round,1R,19,Mark King,ENG,13,10,David Gray,ENG,u,5
2002,First Round,1R,19,Ken Doherty,IRL,4,10,Stuart Bingham,ENG,u,8
2002,First Round,1R,19,John Higgins,SCO,3,10,James Wattana,THA,u,1
